,game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
0,2320450,1468.0,0.0,,Holger Bachthaler,24.0,2.0,,Armin Veh,Home,0
1,2320454,222.0,0.0,,Volkan Uluc,79.0,2.0,,Bruno Labbadia,Home,0
2,2320460,1.0,3.0,,Jürgen Luginger,86.0,1.0,,Robin Dutt,Home,1
3,2320472,2036.0,4.0,,Frank Schmidt,72.0,5.0,,Alexander Schmidt,Home,0
4,2321027,33.0,3.0,8.0,Jens Keller,41.0,3.0,9.0,Thorsten Fink,Home,0
5,2321033,23.0,0.0,13.0,Torsten Lieberknecht,86.0,1.0,7.0,Robin Dutt,Home,0
6,2321044,16.0,2.0,1.0,Jürgen Klopp,23.0,1.0,15.0,Torsten Lieberknecht,Home,1
7,2321060,23.0,0.0,18.0,Torsten Lieberknecht,24.0,2.0,11.0,Armin Veh,Home,0
8,2321063,33.0,2.0,13.0,Jens Keller,15.0,0.0,3.0,Sami Hyypiä,Home,1
9,2321072,16.0,6.0,1.0,Jürgen Klopp,41.0,2.0,15.0,Thorsten Fink,Home,1
10,2321079,23.0,1.0,18.0,Torsten Lieberknecht,4.0,1.0,16.0,Michael Wiesinger,Home,0
11,2321086,4.0,1.0,15.0,Michael Wiesinger,16.0,1.0,1.0,Jürgen Klopp,Home,0
12,2321119,15.0,1.0,3.0,Sami Hyypiä,27.0,1.0,1.0,Pep Guardiola,Home,0
13,2321152,44.0,0.0,7.0,Jos Luhukay,33.0,2.0,6.0,Jens Keller,Home,0
14,2321205,41.0,2.0,14.0,Bert van Marwijk,39.0,3.0,9.0,Thomas Tuchel,Home,0
15,2321233,41.0,0.0,17.0,Bert van Marwijk,44.0,3.0,7.0,Jos Luhukay,Home,0
16,2321307,16.0,2.0,2.0,Jürgen Klopp,82.0,1.0,6.0,Dieter Hecking,Home,1
17,2321319,15.0,2.0,4.0,Sascha Lewandowski,44.0,1.0,10.0,Jos Luhukay,Home,1
18,2321330,167.0,0.0,8.0,Markus Weinzierl,44.0,0.0,10.0,Jos Luhukay,Home,0
19,2321335,33.0,0.0,3.0,Jens Keller,18.0,1.0,6.0,Lucien Favre,Home,0
20,2321976,10604.0,1.0,,Branko Nisevic,448.0,4.0,,Marko Nikolic,Home,0
21,2321990,1257.0,2.0,,Dan Theis,2275.0,0.0,,Marko Rajamäki,Home,1
22,2322019,11107.0,2.0,,José Gomes,10883.0,1.0,,Vojo Pejovic,Home,1
23,2322023,282.0,1.0,,Husref Musemic,10616.0,0.0,,Ezio Fortunato,Home,1
24,2322035,3811.0,4.0,,Janis Intenbergs,29160.0,6.0,,Lee Jones,Home,0
25,2323263,10734.0,1.0,,Carl Darlington,255.0,3.0,,Jan Urban,Home,0
26,2323266,6055.0,0.0,,Attila Pintér,119.0,2.0,,Paulo Sousa,Home,0
27,2323278,255.0,1.0,,Jan Urban,10734.0,0.0,,Carl Darlington,Home,1
28,2323730,121.0,2.0,5.0,Dan Petrescu,12438.0,2.0,10.0,Yuriy Kalitvintsev,Home,0
29,2323731,16704.0,1.0,15.0,Slavoljub Muslin,964.0,2.0,3.0,Luciano Spalletti,Home,0
30,2323741,3691.0,1.0,16.0,Anatoliy Davydov,2439.0,2.0,7.0,Dorinel Munteanu,Home,0
31,2328490,4807.0,1.0,,Vardan Bichakhchyan,669.0,1.0,,Vuk Rasovic,Home,0
32,2329678,3508.0,1.0,5.0,Francky Dury,601.0,0.0,8.0,Hein Vanhaezebrouck,Home,1
33,2329782,1411.0,1.0,16.0,Cedomir Janevski,3508.0,1.0,4.0,Francky Dury,Home,0
34,2329787,2282.0,1.0,3.0,Michel Preud'homme,28643.0,2.0,15.0,Bob Peeters,Home,0
35,2329792,28643.0,4.0,14.0,Bob Peeters,1411.0,1.0,16.0,Cedomir Janevski,Home,1
36,2329798,204.0,1.0,13.0,Stanley Menzo,2282.0,1.0,3.0,Michel Preud'homme,Home,0
37,2330874,618.0,2.0,6.0,Christophe Galtier,595.0,2.0,8.0,Frédéric Hantz,Home,0
38,2330880,14171.0,1.0,16.0,Pascal Dupraz,855.0,2.0,10.0,Jocelyn Gourvennec,Home,0
39,2330916,1423.0,0.0,18.0,Ariel Jacobs,1082.0,1.0,2.0,René Girard,Home,0
40,2330980,1421.0,4.0,7.0,Hubert Fournier,1147.0,1.0,20.0,Christian Bracconi,Home,1
41,2330992,415.0,0.0,12.0,Alain Casanova,855.0,0.0,13.0,Jocelyn Gourvennec,Home,0
42,2331006,855.0,1.0,14.0,Jocelyn Gourvennec,583.0,1.0,1.0,Laurent Blanc,Home,0
43,2331018,273.0,0.0,15.0,Philippe Montanier,14171.0,0.0,17.0,Pascal Dupraz,Home,0
44,2331034,1147.0,3.0,20.0,Christian Bracconi,273.0,1.0,15.0,Philippe Montanier,Home,1
45,2331082,855.0,0.0,14.0,Jocelyn Gourvennec,14171.0,1.0,17.0,Pascal Dupraz,Home,0
46,2331094,244.0,0.0,6.0,José Anigo,417.0,1.0,12.0,Claude Puel,Home,0
47,2331101,40.0,1.0,8.0,Francis Gillot,1041.0,2.0,5.0,Rémi Garde,Home,0
48,2331107,750.0,1.0,19.0,Hervé Renard,244.0,1.0,6.0,José Anigo,Home,0
49,2331110,417.0,0.0,11.0,Claude Puel,583.0,1.0,1.0,Laurent Blanc,Home,0
50,2331123,1423.0,2.0,19.0,Ariel Jacobs,995.0,6.0,11.0,Michel Der Zakarian,Home,0
51,2331128,415.0,1.0,8.0,Alain Casanova,1082.0,2.0,3.0,René Girard,Home,0
52,2331135,1423.0,1.0,18.0,Ariel Jacobs,1041.0,2.0,5.0,Rémi Garde,Home,0
53,2331151,415.0,1.0,10.0,Alain Casanova,995.0,1.0,11.0,Michel Der Zakarian,Home,0
54,2331162,162.0,1.0,2.0,Claudio Ranieri,855.0,1.0,16.0,Jocelyn Gourvennec,Home,0
55,2331997,512.0,2.0,10.0,Mark Hughes,405.0,1.0,13.0,Paul Lambert,Home,1
56,2332021,984.0,1.0,16.0,Keith Downing,3008.0,1.0,12.0,Steve Bruce,Home,0
57,2332050,289.0,3.0,20.0,Gustavo Poyet,631.0,4.0,2.0,José Mourinho,Home,0
58,2332053,379.0,3.0,15.0,Sam Allardyce,931.0,0.0,18.0,Martin Jol,Home,1
59,2332064,512.0,2.0,14.0,Mark Hughes,289.0,0.0,20.0,Gustavo Poyet,Home,1
60,2332070,281.0,6.0,4.0,Manuel Pellegrini,148.0,0.0,9.0,André Villas-Boas,Home,1
61,2332074,1123.0,1.0,14.0,Chris Hughton,873.0,0.0,20.0,Tony Pulis,Home,1
62,2332184,762.0,0.0,8.0,Alan Pardew,29.0,3.0,6.0,Roberto Martínez,Home,0
63,2332188,180.0,2.0,9.0,Mauricio Pochettino,11.0,2.0,2.0,Arsène Wenger,Home,0
64,2332222,11.0,0.0,2.0,Arsène Wenger,985.0,0.0,7.0,David Moyes,Home,0
65,2332234,405.0,4.0,10.0,Paul Lambert,984.0,3.0,15.0,Pepe Mel,Home,1
66,2332235,873.0,1.0,14.0,Tony Pulis,3008.0,0.0,13.0,Steve Bruce,Home,1
67,2332259,29.0,2.0,5.0,Roberto Martínez,281.0,3.0,1.0,Manuel Pellegrini,Home,0
68,2332288,405.0,0.0,15.0,Paul Lambert,180.0,0.0,8.0,Mauricio Pochettino,Home,0
69,2332293,180.0,0.0,8.0,Mauricio Pochettino,603.0,1.0,20.0,Ole Gunnar Solskjaer,Home,0
70,2334909,465.0,0.0,8.0,Danny Lennon,2451.0,0.0,2.0,John Hughes,Home,0
71,2334927,987.0,3.0,3.0,Stuart McCall,2759.0,1.0,9.0,Derek Adams,Home,1
72,2334939,43.0,0.0,12.0,Gary Locke,465.0,2.0,10.0,Danny Lennon,Home,0
73,2334976,370.0,0.0,5.0,Derek McInnes,987.0,1.0,3.0,Stuart McCall,Home,0
74,2334986,465.0,1.0,8.0,Danny Lennon,43.0,1.0,12.0,Gary Locke,Home,0
75,2335021,2759.0,1.0,9.0,Derek Adams,370.0,1.0,3.0,Derek McInnes,Home,0
76,2335044,2578.0,1.0,8.0,Tommy Wright,2760.0,1.0,7.0,Alan Archibald,Home,0
77,2335060,465.0,0.0,9.0,Danny Lennon,2760.0,0.0,11.0,Alan Archibald,Home,0
78,2335072,121.0,1.0,11.0,Dan Petrescu,232.0,4.0,1.0,Valeriy Karpin,Home,0
79,2335139,932.0,0.0,2.0,Leonid Kuchuk,3691.0,0.0,13.0,Vasiliy Baskakov,Home,0
80,2335158,2700.0,0.0,16.0,Gadzhi Gadzhiev,232.0,1.0,3.0,Valeriy Karpin,Home,0
81,2335181,1083.0,0.0,8.0,Miodrag Bozovic,2410.0,0.0,4.0,Leonid Slutski,Home,0
82,2335202,1083.0,0.0,10.0,Miodrag Bozovic,232.0,1.0,3.0,Valeriy Karpin,Home,0
83,2335209,121.0,4.0,4.0,Dan Petrescu,2410.0,2.0,5.0,Leonid Slutski,Home,1
84,2335225,2698.0,2.0,10.0,Rinat Bilyaletdinov,232.0,1.0,5.0,Dmitriy Gunko,Home,1
85,2335226,932.0,2.0,2.0,Leonid Kuchuk,3725.0,1.0,12.0,Rashid Rakhimov,Home,1
86,2335237,932.0,0.0,2.0,Leonid Kuchuk,2700.0,0.0,16.0,Gadzhi Gadzhiev,Home,0
87,2335245,2700.0,4.0,16.0,Gadzhi Gadzhiev,121.0,0.0,4.0,Dan Petrescu,Home,1
88,2335248,3725.0,3.0,11.0,Rashid Rakhimov,1083.0,0.0,8.0,Miodrag Bozovic,Home,1
89,2335257,12438.0,0.0,15.0,Yuriy Kalitvintsev,3691.0,1.0,12.0,Vasiliy Baskakov,Home,0
90,2335264,2698.0,3.0,9.0,Rinat Bilyaletdinov,12438.0,1.0,13.0,Yuriy Kalitvintsev,Home,1
91,2335273,2410.0,2.0,1.0,Leonid Slutski,3691.0,0.0,13.0,Vasiliy Baskakov,Home,1
92,2335276,4128.0,1.0,8.0,Konstantin Paramonov,2410.0,3.0,3.0,Leonid Slutski,Home,0
93,2335296,2700.0,0.0,16.0,Gadzhi Gadzhiev,2696.0,1.0,14.0,Vladimir Kukhlevskiy,Home,0
94,2335629,16245.0,1.0,2.0,Oleg Kononov,6992.0,1.0,11.0,Roman Grygorchuk,Home,0
95,2335645,660.0,1.0,1.0,Mircea Lucescu,6992.0,0.0,13.0,Roman Grygorchuk,Home,1
96,2335657,6414.0,4.0,2.0,Myron Markevych,4482.0,0.0,14.0,Vitaliy Kvartsyanyi,Home,1
97,2335661,10690.0,2.0,4.0,Yuriy Vernydub,6414.0,2.0,2.0,Myron Markevych,Home,0
98,2335673,2477.0,1.0,9.0,Oleksandr Sevidov,6996.0,0.0,13.0,Vyacheslav Groznyi,Home,1
99,2335681,6994.0,2.0,12.0,Sergiy Puchkov,339.0,3.0,2.0,Juande Ramos,Home,0
